Yarmouk	33.472918, 36.300952
Damascus	33.513807, 36.276684
Manbij	36.528044, 37.953815
Turkey border	36.821742, 37.925747

Gaziantep	37.065341, 37.378420
Ankara	39.933836, 32.858200
Instanbul	41.006017, 28.975067
Azmir/Izmir	38.424047, 27.142924

Azmir/Izmir	38.424047, 27.142924
Greek island of Nera	37.476236, 26.993268

Island of Nera	37.476236, 26.993268
Island of Kos	36.888661, 27.286867
Athens	37.982579, 23.730614
Macedonia border	40.914703, 21.418861
Serbian border	42.243345, 21.707520
Hungarian border	46.176064, 19.979974
Vienna	48.207788, 16.377306
Passau, Germany	48.566470, 13.433770

Passau	48.566470, 13.433770
Munich	48.135582, 11.581654
Saarbrücken	49.240173, 6.996920
Treir	49.748587, 6.638815
Stadecken-Elsheim	49.913924, 8.130526
