county_name,county_id,state,sanctuary
Autauga County,01001,Alabama,0
Baldwin County,01003,Alabama,0
Barbour County,01005,Alabama,0
Bibb County,01007,Alabama,0
Blount County,01009,Alabama,0
Bullock County,01011,Alabama,0
Butler County,01013,Alabama,0
Calhoun County,01015,Alabama,0
Chambers County,01017,Alabama,0
Cherokee County,01019,Alabama,0
Chilton County,01021,Alabama,0
Choctaw County,01023,Alabama,0
Clarke County,01025,Alabama,0
Clay County,01027,Alabama,0
Cleburne County,01029,Alabama,0
Coffee County,01031,Alabama,0
Colbert County,01033,Alabama,0
Conecuh County,01035,Alabama,0
Coosa County,01037,Alabama,0
Covington County,01039,Alabama,0
Crenshaw County,01041,Alabama,0
Cullman County,01043,Alabama,0
Dale County,01045,Alabama,0
Dallas County,01047,Alabama,0
DeKalb County,01049,Alabama,0
Elmore County,01051,Alabama,0
Escambia County,01053,Alabama,0
Etowah County,01055,Alabama,0
Fayette County,01057,Alabama,0
Franklin County,01059,Alabama,0
Geneva County,01061,Alabama,0
Greene County,01063,Alabama,0
Hale County,01065,Alabama,0
Henry County,01067,Alabama,0
Houston County,01069,Alabama,0
Jackson County,01071,Alabama,0
Jefferson County,01073,Alabama,0
Lamar County,01075,Alabama,0
Lauderdale County,01077,Alabama,0
Lawrence County,01079,Alabama,0
Lee County,01081,Alabama,0
Limestone County,01083,Alabama,0
Lowndes County,01085,Alabama,0
Macon County,01087,Alabama,0
Madison County,01089,Alabama,0
Marengo County,01091,Alabama,0
Marion County,01093,Alabama,0
Marshall County,01095,Alabama,0
Mobile County,01097,Alabama,0
Monroe County,01099,Alabama,0
Montgomery County,01101,Alabama,0
Morgan County,01103,Alabama,0
Perry County,01105,Alabama,0
Pickens County,01107,Alabama,0
Pike County,01109,Alabama,0
Randolph County,01111,Alabama,0
Russell County,01113,Alabama,0
Shelby County,01115,Alabama,0
St. Clair County,01117,Alabama,0
Sumter County,01119,Alabama,0
Talladega County,01121,Alabama,0
Tallapoosa County,01123,Alabama,0
Tuscaloosa County,01125,Alabama,0
Walker County,01127,Alabama,0
Washington County,01129,Alabama,0
Wilcox County,01131,Alabama,0
Winston County,01133,Alabama,0
Aleutians East Borough,02013,Alaska,0
Aleutians West Census Area,02016,Alaska,0
Anchorage Municipality,02020,Alaska,0
Bethel Census Area,02050,Alaska,0
Bristol Bay Borough,02060,Alaska,0
Denali Borough,02068,Alaska,0
Dillingham Census Area,02070,Alaska,0
Fairbanks North Star Borough,02090,Alaska,0
Haines Borough,02100,Alaska,0
HoonahAngoon Census Area,02105,Alaska,0
Juneau City and Borough,02110,Alaska,0
Kenai Peninsula Borough,02122,Alaska,0
Ketchikan Gateway Borough,02130,Alaska,0
Kodiak Island Borough,02150,Alaska,0
Kusilvak Census Area,02164,Alaska,0
Lake and Peninsula Borough,02170,Alaska,0
MatanuskaSusitna Borough,02180,Alaska,0
Nome Census Area,02185,Alaska,0
North Slope Borough,02188,Alaska,0
Northwest Arctic Borough,02195,Alaska,0
Petersburg Borough,02198,Alaska,0
Prince of WalesHyder Census Area,02220,Alaska,0
Sitka City and Borough,02230,Alaska,0
Skagway Municipality,02240,Alaska,0
Southeast Fairbanks Census Area,02261,Alaska,0
ValdezCordova Census Area,02270,Alaska,0
Wrangell City and Borough,02275,Alaska,0
Yakutat City and Borough,02282,Alaska,0
YukonKoyukuk Census Area,02290,Alaska,0
Apache County,04001,Arizona,0
Cochise County,04003,Arizona,0
Coconino County,04005,Arizona,0
Gila County,04007,Arizona,0
Graham County,04009,Arizona,0
Greenlee County,04011,Arizona,0
La Paz County,04012,Arizona,0
Maricopa County,04013,Arizona,0
Mohave County,04015,Arizona,0
Navajo County,04017,Arizona,0
Pima County,04019,Arizona,0
Pinal County,04021,Arizona,0
Santa Cruz County,04023,Arizona,0
Yavapai County,04025,Arizona,0
Yuma County,04027,Arizona,0
Arkansas County,05001,Arkansas,0
Ashley County,05003,Arkansas,0
Baxter County,05005,Arkansas,0
Benton County,05007,Arkansas,0
Boone County,05009,Arkansas,0
Bradley County,05011,Arkansas,0
Calhoun County,05013,Arkansas,0
Carroll County,05015,Arkansas,0
Chicot County,05017,Arkansas,0
Clark County,05019,Arkansas,0
Clay County,05021,Arkansas,0
Cleburne County,05023,Arkansas,0
Cleveland County,05025,Arkansas,0
Columbia County,05027,Arkansas,0
Conway County,05029,Arkansas,0
Craighead County,05031,Arkansas,0
Crawford County,05033,Arkansas,0
Crittenden County,05035,Arkansas,0
Cross County,05037,Arkansas,0
Dallas County,05039,Arkansas,0
Desha County,05041,Arkansas,0
Drew County,05043,Arkansas,0
Faulkner County,05045,Arkansas,0
Franklin County,05047,Arkansas,0
Fulton County,05049,Arkansas,0
Garland County,05051,Arkansas,0
Grant County,05053,Arkansas,0
Greene County,05055,Arkansas,0
