state_short,county_id,county_name,per_clinton,per_trump
CA,06001,Alameda County,77,14
CA,06003,Alpine County,54,35
CA,06005,Amador County,33,57
CA,06007,Butte County,42,46
CA,06009,Calaveras County,33,56
CA,06011,Colusa County,39,52
CA,06013,Contra Costa County,66,24
CA,06015,Del Norte County,36,52
CA,06017,El Dorado County,38,51
CA,06019,Fresno County,48,42
CA,06021,Glenn County,31,59
CA,06023,Humboldt County,54,30
CA,06027,Inyo County,38,51
CA,06029,Kern County,39,52
CA,06031,Kings County,39,52
CA,06033,Lake County,46,42
CA,06035,Lassen County,21,70
CA,06037,Los Angeles County,70,22
CA,06039,Madera County,39,53
CA,06041,Marin County,76,15
CA,06043,Mariposa County,34,56
CA,06045,Mendocino County,57,28
CA,06047,Merced County,51,40
CA,06049,Modoc County,23,69
CA,06051,Mono County,51,38
CA,06053,Monterey County,65,25
CA,06055,Napa County,62,28
CA,06057,Nevada County,46,41
CA,06059,Orange County,49,41
CA,06061,Placer County,39,50
CA,06063,Plumas County,34,54
CA,06065,Riverside County,49,43
CA,06069,San Benito County,56,35
CA,06071,San Bernardino County,51,40
CA,06075,San Francisco County,83,9
CA,06077,San Joaquin County,53,39
CA,06079,San Luis Obispo County,48,40
CA,06081,San Mateo County,74,18
CA,06083,Santa Barbara County,59,31
CA,06085,Santa Clara County,71,20
CA,06087,Santa Cruz County,72,17
CA,06089,Shasta County,27,63
CA,06091,Sierra County,32,55
CA,06093,Siskiyou County,34,54
CA,06095,Solano County,60,30
CA,06097,Sonoma County,68,22
CA,06099,Stanislaus County,46,44
CA,06101,Sutter County,38,53
CA,06103,Tehama County,28,63
CA,06107,Tulare County,41,50
CA,06109,Tuolumne County,35,55
CA,06113,Yolo County,65,24
CA,06115,Yuba County,34,56
CO,08001,Adams County,50,41
CO,08003,Alamosa County,46,44
CO,08005,Arapahoe County,53,39
CO,08007,Archuleta County,34,58
CO,08009,Baca County,13,81
CO,08011,Bent County,31,62
CO,08013,Boulder County,70,22
CO,08014,Broomfield County,52,38
CO,08015,Chaffee County,43,48
CO,08017,Cheyenne County,12,84
CO,08019,Clear Creek County,47,44
CO,08021,Conejos County,44,48
CO,08023,Costilla County,96,32
CO,08025,Crowley County,22,71
CO,08027,Custer County,26,67
CO,08029,Delta County,24,69
CO,08031,Denver County,74,19
CO,08035,Douglas County,37,55
CO,08037,Eagle County,56,36
CO,08039,Elbert County,34,56
CO,08041,El Paso County,20,73
CO,08043,Fremont County,24,69
CO,08045,Garfield County,43,50
CO,08047,Gilpin County,46,44
CO,08049,Grand County,39,52
CO,08051,Gunnison County,54,35
CO,08055,Huerfano County,43,50
CO,08059,Jefferson County,49,42
CO,08061,Kiowa County,11,85
CO,08063,Kit Carson County,14,80
CO,08065,Lake County,50,40
CO,08067,La Plata County,51,40
CO,08069,Larimer County,48,43
CO,08071,Las Animas County,39,55
CO,08073,Lincoln County,17,78
CO,08075,Logan County,19,75
CO,08077,Mesa County,28,64
CO,08081,Moffat County,13,81
CO,08083,Montezuma County,31,61
CO,08085,Montrose County,26,68
CO,08087,Morgan County,26,68
CO,08089,Otero County,35,58
CO,08093,Park County,33,59
CO,08097,Pitkin County,70,24
CO,08099,Prowers County,24,70
CO,08101,Pueblo County,46,46
CO,08103,Rio Blanco County,13,81
CO,08105,Rio Grande County,36,56
CO,08107,Routt County,54,37
CO,08109,Saguache County,50,40
CO,08113,San Miguel County,69,24
CO,08117,Summit County,59,32
CO,08119,Teller County,25,67
CO,08121,Washington County,11,84
CO,08123,Weld County,34,57
CO,08125,Yuma County,15,80
